"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2016",50237.794429,
"AUS","GDP","TOT","USD_CAP","A","2017",50853.615427,
"AUS","GDP","TOT","USD_CAP","A","2018",53061.634053,
"AUS","GDP","TOT","USD_CAP","A","2019",53067.877181,"E"
"AUT","GDP","TOT","USD_CAP","A","2016",52665.087457,
"AUT","GDP","TOT","USD_CAP","A","2017",54185.337013,
"AUT","GDP","TOT","USD_CAP","A","2018",57068.534815,
"AUT","GDP","TOT","USD_CAP","A","2019",58664.718719,
"AUT","GDP","TOT","USD_CAP","A","2020",55407.641086,
"BEL","GDP","TOT","USD_CAP","A","2016",48599.202676,
"BEL","GDP","TOT","USD_CAP","A","2017",50436.26033,
"BEL","GDP","TOT","USD_CAP","A","2018",52668.407357,
"BEL","GDP","TOT","USD_CAP","A","2019",54693.240937,
"BEL","GDP","TOT","USD_CAP","A","2020",51688.583464,"P"
"CAN","GDP","TOT","USD_CAP","A","2016",46472.368771,
"CAN","GDP","TOT","USD_CAP","A","2017",48316.716527,
"CAN","GDP","TOT","USD_CAP","A","2018",50239.988278,
"CAN","GDP","TOT","USD_CAP","A","2019",50660.587438,
"CAN","GDP","TOT","USD_CAP","A","2020",48405.147781,
"CZE","GDP","TOT","USD_CAP","A","2016",36101.285601,
"CZE","GDP","TOT","USD_CAP","A","2017",38842.896268,
"CZE","GDP","TOT","USD_CAP","A","2018",41147.631528,
"CZE","GDP","TOT","USD_CAP","A","2019",43015.814745,
"CZE","GDP","TOT","USD_CAP","A","2020",41121.096782,
"DNK","GDP","TOT","USD_CAP","A","2016",51967.020438,
"DNK","GDP","TOT","USD_CAP","A","2017",55356.49009,
"DNK","GDP","TOT","USD_CAP","A","2018",57459.169626,
"DNK","GDP","TOT","USD_CAP","A","2019",60308.072261,
"DNK","GDP","TOT","USD_CAP","A","2020",59346.890596,
"FIN","GDP","TOT","USD_CAP","A","2016",44934.488245,
"FIN","GDP","TOT","USD_CAP","A","2017",47570.270354,
"FIN","GDP","TOT","USD_CAP","A","2018",49749.057567,
"FIN","GDP","TOT","USD_CAP","A","2019",51556.59032,
"FIN","GDP","TOT","USD_CAP","A","2020",50247.399815,
"FRA","GDP","TOT","USD_CAP","A","2016",42855.944562,
"FRA","GDP","TOT","USD_CAP","A","2017",44480.722199,
"FRA","GDP","TOT","USD_CAP","A","2018",46456.107107,"P"
"FRA","GDP","TOT","USD_CAP","A","2019",49225.564402,"P"
"FRA","GDP","TOT","USD_CAP","A","2020",45494.488417,"P"
"DEU","GDP","TOT","USD_CAP","A","2016",50579.483717,
"DEU","GDP","TOT","USD_CAP","A","2017",52952.897774,
"DEU","GDP","TOT","USD_CAP","A","2018",54954.68658,
"DEU","GDP","TOT","USD_CAP","A","2019",55891.15984,
"DEU","GDP","TOT","USD_CAP","A","2020",53809.843557,"P"
"GRC","GDP","TOT","USD_CAP","A","2016",27471.218206,
"GRC","GDP","TOT","USD_CAP","A","2017",28644.977147,
"GRC","GDP","TOT","USD_CAP","A","2018",29680.902369,"P"
"GRC","GDP","TOT","USD_CAP","A","2019",30869.249859,"P"
"GRC","GDP","TOT","USD_CAP","A","2020",28389.13061,"P"
"HUN","GDP","TOT","USD_CAP","A","2016",27911.664733,
"HUN","GDP","TOT","USD_CAP","A","2017",29465.126306,
"HUN","GDP","TOT","USD_CAP","A","2018",31829.54906,
"HUN","GDP","TOT","USD_CAP","A","2019",33949.634513,"P"
"HUN","GDP","TOT","USD_CAP","A","2020",33521.222144,"P"
"ISL","GDP","TOT","USD_CAP","A","2016",53486.615773,
"ISL","GDP","TOT","USD_CAP","A","2017",55648.250359,
"ISL","GDP","TOT","USD_CAP","A","2018",58139.715909,
"ISL","GDP","TOT","USD_CAP","A","2019",59567.238223,
"IRL","GDP","TOT","USD_CAP","A","2016",71793.285749,
"IRL","GDP","TOT","USD_CAP","A","2017",78739.394859,
"IRL","GDP","TOT","USD_CAP","A","2018",85027.001037,
"IRL","GDP","TOT","USD_CAP","A","2019",89561.458769,
"ITA","GDP","TOT","USD_CAP","A","2016",39926.966169,
"ITA","GDP","TOT","USD_CAP","A","2017",41581.131252,
"ITA","GDP","TOT","USD_CAP","A","2018",43097.264517,
"ITA","GDP","TOT","USD_CAP","A","2019",44397.556124,
"ITA","GDP","TOT","USD_CAP","A","2020",41108.214758,
"JPN","GDP","TOT","USD_CAP","A","2016",39983.643655,
"JPN","GDP","TOT","USD_CAP","A","2017",40992.39323,
"JPN","GDP","TOT","USD_CAP","A","2018",41724.030341,
"JPN","GDP","TOT","USD_CAP","A","2019",42385.765777,"E"
"KOR","GDP","TOT","USD_CAP","A","2016",39575.302078,
"KOR","GDP","TOT","USD_CAP","A","2017",40957.347064,
"KOR","GDP","TOT","USD_CAP","A","2018",42486.739807,
"KOR","GDP","TOT","USD_CAP","A","2019",42728.031736,"P"
"LUX","GDP","TOT","USD_CAP","A","2016",110260.934439,
"LUX","GDP","TOT","USD_CAP","A","2017",112187.731906,
"LUX","GDP","TOT","USD_CAP","A","2018",116480.803842,
"LUX","GDP","TOT","USD_CAP","A","2019",120670.500099,
"LUX","GDP","TOT","USD_CAP","A","2020",117619.647997,"P"
"MEX","GDP","TOT","USD_CAP","A","2016",19516.145022,
"MEX","GDP","TOT","USD_CAP","A","2017",19947.197691,
"MEX","GDP","TOT","USD_CAP","A","2018",20518.580821,"P"
"MEX","GDP","TOT","USD_CAP","A","2019",20739.308737,"P"
"NLD","GDP","TOT","USD_CAP","A","2016",52289.404292,
"NLD","GDP","TOT","USD_CAP","A","2017",55089.58143,
"NLD","GDP","TOT","USD_CAP","A","2018",57899.824961,"P"
"NLD","GDP","TOT","USD_CAP","A","2019",59468.672811,"P"
"NLD","GDP","TOT","USD_CAP","A","2020",57482.115092,"P"
"NZL","GDP","TOT","USD_CAP","A","2016",40049.253774,
"NZL","GDP","TOT","USD_CAP","A","2017",42523.834338,
"NZL","GDP","TOT","USD_CAP","A","2018",44275.115253,
"NZL","GDP","TOT","USD_CAP","A","2019",45300.846487,"E"
"NOR","GDP","TOT","USD_CAP","A","2016",58923.240139,
"NOR","GDP","TOT","USD_CAP","A","2017",64050.366694,
"NOR","GDP","TOT","USD_CAP","A","2018",69709.381608,
"NOR","GDP","TOT","USD_CAP","A","2019",68343.740792,
"NOR","GDP","TOT","USD_CAP","A","2020",68117.123175,
"POL","GDP","TOT","USD_CAP","A","2016",27985.340009,
